Day;Hours;Price(DKK/Mwh)
09-03-2016;07 - 08;187.18
09-03-2016;08 - 09;217.85
09-03-2016;09 - 10;186.74
09-03-2016;10 - 11;174.8
09-03-2016;11 - 12;177.93
09-03-2016;12 - 13;166.22
09-03-2016;13 - 14;163.83
09-03-2016;14 - 15;165.32
09-03-2016;15 - 16;167.86
09-03-2016;16 - 17;180.77
09-03-2016;17 - 18;194.35
09-03-2016;18 - 19;282.31
09-03-2016;19 - 20;194.57
09-03-2016;20 - 21;174.35
09-03-2016;21 - 22;166.15
09-03-2016;22 - 23;161
09-03-2016;23 - 00;156.75
10-03-2016;00 - 01;154.66
10-03-2016;01 - 02;150.48
10-03-2016;02 - 03;149.51
10-03-2016;03 - 04;150.41
10-03-2016;04 - 05;156.22
10-03-2016;05 - 06;162.12
10-03-2016;06 - 07;175.17
10-03-2016;07 - 08;190.69
10-03-2016;08 - 09;232.99
10-03-2016;09 - 10;218.82
10-03-2016;10 - 11;186.14
10-03-2016;11 - 12;181.89
10-03-2016;12 - 13;184.05
10-03-2016;13 - 14;181.89
10-03-2016;14 - 15;179.5
10-03-2016;15 - 16;179.28
10-03-2016;16 - 17;179.28
10-03-2016;17 - 18;186.37
10-03-2016;18 - 19;199.79
10-03-2016;19 - 20;190.02
10-03-2016;20 - 21;180.77
10-03-2016;21 - 22;174.28
10-03-2016;22 - 23;165.4
10-03-2016;23 - 00;158.39
11-03-2016;00 - 01;160.36
11-03-2016;01 - 02;155.52
11-03-2016;02 - 03;156.86
11-03-2016;03 - 04;157.08
11-03-2016;04 - 05;162.23
11-03-2016;05 - 06;167
11-03-2016;06 - 07;182.59
11-03-2016;07 - 08;257.1
11-03-2016;08 - 09;285.97
11-03-2016;09 - 10;273.66
11-03-2016;10 - 11;245.47
11-03-2016;11 - 12;238.53
11-03-2016;12 - 13;222.35
11-03-2016;13 - 14;196.76
11-03-2016;14 - 15;184.53
11-03-2016;15 - 16;181.4
11-03-2016;16 - 17;181.1
11-03-2016;17 - 18;203.1
11-03-2016;18 - 19;242.78
11-03-2016;19 - 20;241.89
11-03-2016;20 - 21;181.55
11-03-2016;21 - 22;182.14
11-03-2016;22 - 23;173.27
11-03-2016;23 - 00;164.62
12-03-2016;00 - 01;167.61
12-03-2016;01 - 02;166.57
12-03-2016;02 - 03;166.2
12-03-2016;03 - 04;166.2
12-03-2016;04 - 05;167.09
12-03-2016;05 - 06;169.11
12-03-2016;06 - 07;169.48
12-03-2016;07 - 08;170.52
12-03-2016;08 - 09;175.07
12-03-2016;09 - 10;184.92
12-03-2016;10 - 11;184.92
12-03-2016;11 - 12;181.19
12-03-2016;12 - 13;171.79
12-03-2016;13 - 14;167.69
12-03-2016;14 - 15;166.2
12-03-2016;15 - 16;165.82
12-03-2016;16 - 17;166.94
12-03-2016;17 - 18;178.66
12-03-2016;18 - 19;193.5
12-03-2016;19 - 20;181.71
12-03-2016;20 - 21;169.55
12-03-2016;21 - 22;169.11
12-03-2016;22 - 23;168.73
12-03-2016;23 - 00;167.02
13-03-2016;00 - 01;167.51
13-03-2016;01 - 02;164.9
13-03-2016;02 - 03;161.61
13-03-2016;03 - 04;156.99
13-03-2016;04 - 05;157.51
13-03-2016;05 - 06;160.12
13-03-2016;06 - 07;159.08
13-03-2016;07 - 08;161.09
13-03-2016;08 - 09;162.88
13-03-2016;09 - 10;164.67
13-03-2016;10 - 11;165.34
13-03-2016;11 - 12;164.75
13-03-2016;12 - 13;161.02
13-03-2016;13 - 14;155.95
13-03-2016;14 - 15;154.75
13-03-2016;15 - 16;154.68
13-03-2016;16 - 17;158.33
13-03-2016;17 - 18;164.15
13-03-2016;18 - 19;180.19
13-03-2016;19 - 20;178.1
13-03-2016;20 - 21;170.04
13-03-2016;21 - 22;167.36
13-03-2016;22 - 23;166.76
13-03-2016;23 - 00;164.67
14-03-2016;00 - 01;157.89
14-03-2016;01 - 02;153.56
14-03-2016;02 - 03;150.8
14-03-2016;03 - 04;151.02
14-03-2016;04 - 05;155.35
14-03-2016;05 - 06;163.48
14-03-2016;06 - 07;172.88
14-03-2016;07 - 08;257.9
14-03-2016;08 - 09;260.66
14-03-2016;09 - 10;231.12
14-03-2016;10 - 11;214.94
14-03-2016;11 - 12;178.77
14-03-2016;12 - 13;173.47
14-03-2016;13 - 14;170.34
14-03-2016;14 - 15;168.18
14-03-2016;15 - 16;167.73
14-03-2016;16 - 17;180.48
14-03-2016;17 - 18;223.59
14-03-2016;18 - 19;287.36
14-03-2016;19 - 20;219.41
14-03-2016;20 - 21;178.62
14-03-2016;21 - 22;165.94
14-03-2016;22 - 23;164.23
14-03-2016;23 - 00;157.36
15-03-2016;00 - 01;153.63
15-03-2016;01 - 02;151.09
15-03-2016;02 - 03;151.61
15-03-2016;03 - 04;150.94
15-03-2016;04 - 05;155.57
15-03-2016;05 - 06;163.02
15-03-2016;06 - 07;167.05
15-03-2016;07 - 08;185.55
15-03-2016;08 - 09;264.89
15-03-2016;09 - 10;261.69
15-03-2016;10 - 11;262.73
15-03-2016;11 - 12;190.91
15-03-2016;12 - 13;185.69
15-03-2016;13 - 14;171.15
15-03-2016;14 - 15;168.24
15-03-2016;15 - 16;166.53
15-03-2016;16 - 17;165.93
15-03-2016;17 - 18;185.25
15-03-2016;18 - 19;232.23
15-03-2016;19 - 20;248.41
15-03-2016;20 - 21;190.24
15-03-2016;21 - 22;166.23
15-03-2016;22 - 23;163.47
15-03-2016;23 - 00;156.24
16-03-2016;00 - 01;154.41
16-03-2016;01 - 02;152.24
16-03-2016;02 - 03;151.13
16-03-2016;03 - 04;149.56
16-03-2016;04 - 05;152.77
16-03-2016;05 - 06;160.97
16-03-2016;06 - 07;166.86
16-03-2016;07 - 08;247
16-03-2016;08 - 09;240.07
16-03-2016;09 - 10;182.07
16-03-2016;10 - 11;167.6
16-03-2016;11 - 12;167.23
16-03-2016;12 - 13;165.22
16-03-2016;13 - 14;162.9
16-03-2016;14 - 15;163.28
16-03-2016;15 - 16;162.46
16-03-2016;16 - 17;172.22
16-03-2016;17 - 18;217.7
16-03-2016;18 - 19;259.01
16-03-2016;19 - 20;193.17
16-03-2016;20 - 21;231.72
16-03-2016;21 - 22;163.95
16-03-2016;22 - 23;159.33
16-03-2016;23 - 00;153.44
17-03-2016;00 - 01;154.25
17-03-2016;01 - 02;150.38
17-03-2016;02 - 03;151.2
17-03-2016;03 - 04;153.29
17-03-2016;04 - 05;157.24
17-03-2016;05 - 06;164.47
17-03-2016;06 - 07;167
17-03-2016;07 - 08;176.7
17-03-2016;08 - 09;254.46
17-03-2016;09 - 10;189.07
17-03-2016;10 - 11;172.3
17-03-2016;11 - 12;170.51
17-03-2016;12 - 13;166.85
17-03-2016;13 - 14;165.51
17-03-2016;14 - 15;165.14
17-03-2016;15 - 16;164.54
17-03-2016;16 - 17;165.21
17-03-2016;17 - 18;182.59
17-03-2016;18 - 19;282.41
17-03-2016;19 - 20;226.5
17-03-2016;20 - 21;166.18
17-03-2016;21 - 22;164.84
17-03-2016;22 - 23;161.19
17-03-2016;23 - 00;155.97
18-03-2016;00 - 01;151.4
18-03-2016;01 - 02;145.14
18-03-2016;02 - 03;145.29
18-03-2016;03 - 04;146.63
18-03-2016;04 - 05;150.13
18-03-2016;05 - 06;160.87
18-03-2016;06 - 07;165.19
18-03-2016;07 - 08;170.11
18-03-2016;08 - 09;217.82
18-03-2016;09 - 10;171.16
18-03-2016;10 - 11;167.2
18-03-2016;11 - 12;166.76
18-03-2016;12 - 13;165.34
18-03-2016;13 - 14;164.07
18-03-2016;14 - 15;164.15
18-03-2016;15 - 16;164.15
18-03-2016;16 - 17;164.52
18-03-2016;17 - 18;165.94
18-03-2016;18 - 19;189.79
18-03-2016;19 - 20;189.64
18-03-2016;20 - 21;166.83
18-03-2016;21 - 22;164.97
18-03-2016;22 - 23;162.14
18-03-2016;23 - 00;157.44
19-03-2016;00 - 01;158.83
19-03-2016;01 - 02;157.71
19-03-2016;02 - 03;157.56
19-03-2016;03 - 04;158.46
19-03-2016;04 - 05;158.76
19-03-2016;05 - 06;160.4
19-03-2016;06 - 07;160.92
19-03-2016;07 - 08;162.18
19-03-2016;08 - 09;162.78
19-03-2016;09 - 10;166.06
19-03-2016;10 - 11;164.94
19-03-2016;11 - 12;163.15
19-03-2016;12 - 13;159.87
19-03-2016;13 - 14;157.49
19-03-2016;14 - 15;153.91
19-03-2016;15 - 16;152.2
19-03-2016;16 - 17;154.95
19-03-2016;17 - 18;161.74
19-03-2016;18 - 19;165.46
19-03-2016;19 - 20;165.46
19-03-2016;20 - 21;161.89
19-03-2016;21 - 22;160.47
19-03-2016;22 - 23;158.83
19-03-2016;23 - 00;154.36
20-03-2016;00 - 01;150.33
20-03-2016;01 - 02;146.68
20-03-2016;02 - 03;144.36
20-03-2016;03 - 04;143.47
20-03-2016;04 - 05;144.29
20-03-2016;05 - 06;146.38
20-03-2016;06 - 07;147.12
20-03-2016;07 - 08;146.75
20-03-2016;08 - 09;148.46
20-03-2016;09 - 10;151.3
20-03-2016;10 - 11;153.46
20-03-2016;11 - 12;153.98
20-03-2016;12 - 13;152.94
20-03-2016;13 - 14;150.63
20-03-2016;14 - 15;150.18
20-03-2016;15 - 16;150.1
20-03-2016;16 - 17;149.43
20-03-2016;17 - 18;153.31
20-03-2016;18 - 19;163.89
20-03-2016;19 - 20;165.38
20-03-2016;20 - 21;162.92
20-03-2016;21 - 22;160.54
20-03-2016;22 - 23;158.53
20-03-2016;23 - 00;151.52
21-03-2016;00 - 01;151.22
21-03-2016;01 - 02;148.31
21-03-2016;02 - 03;147.49
21-03-2016;03 - 04;148.31
21-03-2016;04 - 05;152.04
21-03-2016;05 - 06;158.97
21-03-2016;06 - 07;161.58
21-03-2016;07 - 08;164.79
21-03-2016;08 - 09;166.35
21-03-2016;09 - 10;165.61
21-03-2016;10 - 11;165.16
21-03-2016;11 - 12;163.97
21-03-2016;12 - 13;162.77
21-03-2016;13 - 14;161.88
21-03-2016;14 - 15;160.76
21-03-2016;15 - 16;160.61
21-03-2016;16 - 17;160.69
21-03-2016;17 - 18;163.07
21-03-2016;18 - 19;165.38
21-03-2016;19 - 20;165.83
21-03-2016;20 - 21;164.49
21-03-2016;21 - 22;162.85
21-03-2016;22 - 23;160.84
21-03-2016;23 - 00;155.77
22-03-2016;00 - 01;151.5
22-03-2016;01 - 02;149.64
22-03-2016;02 - 03;149.41
22-03-2016;03 - 04;152.54
22-03-2016;04 - 05;156.49
22-03-2016;05 - 06;160.14
22-03-2016;06 - 07;161.78
22-03-2016;07 - 08;165.73
22-03-2016;08 - 09;199.64
22-03-2016;09 - 10;190.99
22-03-2016;10 - 11;182.35
22-03-2016;11 - 12;172.07
22-03-2016;12 - 13;167.89
22-03-2016;13 - 14;166.33
22-03-2016;14 - 15;164.54
22-03-2016;15 - 16;164.91
22-03-2016;16 - 17;162.16
22-03-2016;17 - 18;163.65
22-03-2016;18 - 19;165.21
22-03-2016;19 - 20;165.66
22-03-2016;20 - 21;164.84
22-03-2016;21 - 22;163.42
22-03-2016;22 - 23;159.55
22-03-2016;23 - 00;155.82
23-03-2016;00 - 01;155.69
23-03-2016;01 - 02;152.86
23-03-2016;02 - 03;151
23-03-2016;03 - 04;153.23
23-03-2016;04 - 05;155.54
23-03-2016;05 - 06;158.23
23-03-2016;06 - 07;160.98
23-03-2016;07 - 08;163.52
23-03-2016;08 - 09;188.19
23-03-2016;09 - 10;164.41
23-03-2016;10 - 11;163.82
23-03-2016;11 - 12;163.15
23-03-2016;12 - 13;161.88
23-03-2016;13 - 14;161.28
23-03-2016;14 - 15;160.76
23-03-2016;15 - 16;160.31
23-03-2016;16 - 17;160.61
23-03-2016;17 - 18;162.18
23-03-2016;18 - 19;166.05
23-03-2016;19 - 20;173.13
23-03-2016;20 - 21;166.28
23-03-2016;21 - 22;163
23-03-2016;22 - 23;160.91
23-03-2016;23 - 00;157.56
24-03-2016;00 - 01;159.11
24-03-2016;01 - 02;156.43
24-03-2016;02 - 03;154.27
24-03-2016;03 - 04;155.46
24-03-2016;04 - 05;158.22
24-03-2016;05 - 06;162.61
24-03-2016;06 - 07;161.5
24-03-2016;07 - 08;162.46
24-03-2016;08 - 09;186.76
24-03-2016;09 - 10;186.69
24-03-2016;10 - 11;186.39
24-03-2016;11 - 12;160.97
24-03-2016;12 - 13;158.74
24-03-2016;13 - 14;156.58
24-03-2016;14 - 15;155.01
24-03-2016;15 - 16;154.12
24-03-2016;16 - 17;154.19
24-03-2016;17 - 18;155.53
24-03-2016;18 - 19;156.88
24-03-2016;19 - 20;157.55
24-03-2016;20 - 21;157.1
24-03-2016;21 - 22;155.31
24-03-2016;22 - 23;153
24-03-2016;23 - 00;151.29
25-03-2016;00 - 01;154.3
25-03-2016;01 - 02;151.17
25-03-2016;02 - 03;150.94
25-03-2016;03 - 04;149.01
25-03-2016;04 - 05;149.15
25-03-2016;05 - 06;151.32
25-03-2016;06 - 07;151.02
25-03-2016;07 - 08;151.99
25-03-2016;08 - 09;155.19
25-03-2016;09 - 10;156.91
25-03-2016;10 - 11;156.91
25-03-2016;11 - 12;155.79
25-03-2016;12 - 13;154.67
25-03-2016;13 - 14;152.21
25-03-2016;14 - 15;151.39
25-03-2016;15 - 16;151.17
25-03-2016;16 - 17;151.76
25-03-2016;17 - 18;152.58
25-03-2016;18 - 19;155.27
25-03-2016;19 - 20;156.61
25-03-2016;20 - 21;155.04
25-03-2016;21 - 22;153.11
25-03-2016;22 - 23;152.43
25-03-2016;23 - 00;150.2
26-03-2016;00 - 01;155.19
26-03-2016;01 - 02;153.11
26-03-2016;02 - 03;152.29
26-03-2016;03 - 04;149.08
26-03-2016;04 - 05;149.08
26-03-2016;05 - 06;149.15
26-03-2016;06 - 07;149.15
26-03-2016;07 - 08;152.58
26-03-2016;08 - 09;155.64
26-03-2016;09 - 10;157.35
26-03-2016;10 - 11;155.86
26-03-2016;11 - 12;148.86
26-03-2016;12 - 13;142.07
26-03-2016;13 - 14;136.11
26-03-2016;14 - 15;130.74
26-03-2016;15 - 16;132.16
26-03-2016;16 - 17;133.2
26-03-2016;17 - 18;143.12
26-03-2016;18 - 19;149.97
26-03-2016;19 - 20;149.75
26-03-2016;20 - 21;148.63
26-03-2016;21 - 22;139.54
26-03-2016;22 - 23;133.5
26-03-2016;23 - 00;109.28
27-03-2016;00 - 01;54.64
27-03-2016;01 - 02;22.66
27-03-2016;02 - 03;
27-03-2016;03 - 04;74.39
27-03-2016;04 - 05;74.09
27-03-2016;05 - 06;74.84
27-03-2016;06 - 07;6.78
27-03-2016;07 - 08;74.54
27-03-2016;08 - 09;74.84
27-03-2016;09 - 10;74.91
27-03-2016;10 - 11;129.03
27-03-2016;11 - 12;129.4
27-03-2016;12 - 13;125.3
27-03-2016;13 - 14;119.41
27-03-2016;14 - 15;115.02
27-03-2016;15 - 16;115.69
27-03-2016;16 - 17;119.11
27-03-2016;17 - 18;126.94
27-03-2016;18 - 19;130.74
27-03-2016;19 - 20;146.1
27-03-2016;20 - 21;152.29
27-03-2016;21 - 22;148.11
27-03-2016;22 - 23;145.35
27-03-2016;23 - 00;137.9
28-03-2016;00 - 01;96.01
28-03-2016;01 - 02;61.72
28-03-2016;02 - 03;55.38
28-03-2016;03 - 04;48.45
28-03-2016;04 - 05;39.28
28-03-2016;05 - 06;46.81
28-03-2016;06 - 07;43.68
28-03-2016;07 - 08;44.43
28-03-2016;08 - 09;88.11
28-03-2016;09 - 10;131.79
28-03-2016;10 - 11;136.26
28-03-2016;11 - 12;138.12
28-03-2016;12 - 13;134.92
28-03-2016;13 - 14;88.4
28-03-2016;14 - 15;-44.2
28-03-2016;15 - 16;-44.57
28-03-2016;16 - 17;-45.02
28-03-2016;17 - 18;-31.31
28-03-2016;18 - 19;55.53
28-03-2016;19 - 20;87.88
28-03-2016;20 - 21;126.87
28-03-2016;21 - 22;135.81
28-03-2016;22 - 23;121.43
28-03-2016;23 - 00;96.75
29-03-2016;00 - 01;122.02
29-03-2016;01 - 02;121.8
29-03-2016;02 - 03;116.8
29-03-2016;03 - 04;117.7
29-03-2016;04 - 05;125
29-03-2016;05 - 06;137.9
29-03-2016;06 - 07;149.97
29-03-2016;07 - 08;168.16
29-03-2016;08 - 09;159.29
29-03-2016;09 - 10;159.29
29-03-2016;10 - 11;158.32
29-03-2016;11 - 12;156.98
29-03-2016;12 - 13;152.29
29-03-2016;13 - 14;149.01
29-03-2016;14 - 15;147.81
29-03-2016;15 - 16;146.99
29-03-2016;16 - 17;148.04
29-03-2016;17 - 18;154.75
29-03-2016;18 - 19;158.02
29-03-2016;19 - 20;159.07
29-03-2016;20 - 21;159.52
29-03-2016;21 - 22;157.58
29-03-2016;22 - 23;152.81
29-03-2016;23 - 00;149.68
30-03-2016;00 - 01;151.32
30-03-2016;01 - 02;150.05
30-03-2016;02 - 03;150.57
30-03-2016;03 - 04;148.48
30-03-2016;04 - 05;150.42
30-03-2016;05 - 06;157.13
30-03-2016;06 - 07;161.53
30-03-2016;07 - 08;165.55
30-03-2016;08 - 09;172.49
30-03-2016;09 - 10;167.94
30-03-2016;10 - 11;163.91
30-03-2016;11 - 12;162.72
30-03-2016;12 - 13;161.3
30-03-2016;13 - 14;160.86
30-03-2016;14 - 15;160.34
30-03-2016;15 - 16;159.44
30-03-2016;16 - 17;159.07
30-03-2016;17 - 18;160.34
30-03-2016;18 - 19;161.68
30-03-2016;19 - 20;163.09
30-03-2016;20 - 21;163.24
30-03-2016;21 - 22;161.68
30-03-2016;22 - 23;159.14
30-03-2016;23 - 00;156.83
31-03-2016;00 - 01;153.15
31-03-2016;01 - 02;150.84
31-03-2016;02 - 03;150.24
31-03-2016;03 - 04;150.69
31-03-2016;04 - 05;153.6
31-03-2016;05 - 06;160.53
31-03-2016;06 - 07;166.04
31-03-2016;07 - 08;262.48
31-03-2016;08 - 09;297.95
31-03-2016;09 - 10;265.16
31-03-2016;10 - 11;251.97
31-03-2016;11 - 12;246.98
31-03-2016;12 - 13;218.43
31-03-2016;13 - 14;218.36
31-03-2016;14 - 15;203.08
31-03-2016;15 - 16;182.74
31-03-2016;16 - 17;179.83
31-03-2016;17 - 18;181.32
31-03-2016;18 - 19;199.58
31-03-2016;19 - 20;226.03
31-03-2016;20 - 21;232.67
31-03-2016;21 - 22;161.64
31-03-2016;22 - 23;158.66
31-03-2016;23 - 00;152.25
01-04-2016;00 - 01;154.15
01-04-2016;01 - 02;151.32
01-04-2016;02 - 03;151.54
01-04-2016;03 - 04;150.05
01-04-2016;04 - 05;153.63
01-04-2016;05 - 06;158.4
01-04-2016;06 - 07;164.36
01-04-2016;07 - 08;248.03
01-04-2016;08 - 09;294.07
01-04-2016;09 - 10;279.17
01-04-2016;10 - 11;251.38
01-04-2016;11 - 12;222.17
01-04-2016;12 - 13;187.53
01-04-2016;13 - 14;163.39
01-04-2016;14 - 15;161.97
01-04-2016;15 - 16;161.08
01-04-2016;16 - 17;160.71
01-04-2016;17 - 18;161.6
01-04-2016;18 - 19;192.97
01-04-2016;19 - 20;163.09
01-04-2016;20 - 21;247.43
01-04-2016;21 - 22;162.12
01-04-2016;22 - 23;160.19
01-04-2016;23 - 00;156.91
02-04-2016;00 - 01;157.42
02-04-2016;01 - 02;154.96
02-04-2016;02 - 03;153.47
02-04-2016;03 - 04;147.81
02-04-2016;04 - 05;148.33
02-04-2016;05 - 06;149.67
02-04-2016;06 - 07;150.42
02-04-2016;07 - 08;154.89
02-04-2016;08 - 09;157.49
02-04-2016;09 - 10;158.91
02-04-2016;10 - 11;155.03
02-04-2016;11 - 12;149.6
02-04-2016;12 - 13;147.29
02-04-2016;13 - 14;147.21
02-04-2016;14 - 15;144.23
02-04-2016;15 - 16;143.64
02-04-2016;16 - 17;144.6
02-04-2016;17 - 18;152.35
02-04-2016;18 - 19;163.75
02-04-2016;19 - 20;161.81
02-04-2016;20 - 21;160.55
02-04-2016;21 - 22;159.28
02-04-2016;22 - 23;157.72
02-04-2016;23 - 00;155.85
03-04-2016;00 - 01;150.36
03-04-2016;01 - 02;140.75
03-04-2016;02 - 03;138.22
03-04-2016;03 - 04;137.92
03-04-2016;04 - 05;136.21
03-04-2016;05 - 06;137.03
03-04-2016;06 - 07;137.25
03-04-2016;07 - 08;138.29
03-04-2016;08 - 09;141.72
03-04-2016;09 - 10;144.55
03-04-2016;10 - 11;146.86
03-04-2016;11 - 12;147.68
03-04-2016;12 - 13;143.65
03-04-2016;13 - 14;142.84
03-04-2016;14 - 15;142.61
03-04-2016;15 - 16;145.81
03-04-2016;16 - 17;149.84
03-04-2016;17 - 18;152.29
03-04-2016;18 - 19;157.8
03-04-2016;19 - 20;172.4
03-04-2016;20 - 21;163.99
03-04-2016;21 - 22;161.45
03-04-2016;22 - 23;159.22
03-04-2016;23 - 00;154.23
04-04-2016;00 - 01;152.67
04-04-2016;01 - 02;145.89
04-04-2016;02 - 03;142.69
04-04-2016;03 - 04;142.61
04-04-2016;04 - 05;144.03
04-04-2016;05 - 06;153.04
04-04-2016;06 - 07;165.25
04-04-2016;07 - 08;178.58
04-04-2016;08 - 09;257.45
04-04-2016;09 - 10;243.45
04-04-2016;10 - 11;215.3
04-04-2016;11 - 12;182.45
04-04-2016;12 - 13;169.87
04-04-2016;13 - 14;173.22
04-04-2016;14 - 15;171.95
04-04-2016;15 - 16;167.49
04-04-2016;16 - 17;167.41
04-04-2016;17 - 18;169.05
04-04-2016;18 - 19;170.61
04-04-2016;19 - 20;170.69
04-04-2016;20 - 21;175.01
04-04-2016;21 - 22;169.12
04-04-2016;22 - 23;163.99
04-04-2016;23 - 00;158.1
05-04-2016;00 - 01;151.68
05-04-2016;01 - 02;149.22
05-04-2016;02 - 03;149.07
05-04-2016;03 - 04;147.58
05-04-2016;04 - 05;149.52
05-04-2016;05 - 06;158.3
05-04-2016;06 - 07;170.29
05-04-2016;07 - 08;238.12
05-04-2016;08 - 09;256.22
05-04-2016;09 - 10;253.76
05-04-2016;10 - 11;247.8
05-04-2016;11 - 12;239.31
05-04-2016;12 - 13;214.52
05-04-2016;13 - 14;193.15
05-04-2016;14 - 15;179.82
05-04-2016;15 - 16;175.8
05-04-2016;16 - 17;174.16
05-04-2016;17 - 18;188.09
05-04-2016;18 - 19;175.73
05-04-2016;19 - 20;184.74
05-04-2016;20 - 21;180.86
05-04-2016;21 - 22;171.7
05-04-2016;22 - 23;166.42
05-04-2016;23 - 00;158.38
06-04-2016;00 - 01;148.8
06-04-2016;01 - 02;142.85
06-04-2016;02 - 03;141.81
06-04-2016;03 - 04;140.99
06-04-2016;04 - 05;141.51
06-04-2016;05 - 06;148.8
06-04-2016;06 - 07;160.7
06-04-2016;07 - 08;170.3
06-04-2016;08 - 09;175.81
06-04-2016;09 - 10;170.45
06-04-2016;10 - 11;168.74
06-04-2016;11 - 12;163.46
06-04-2016;12 - 13;159.29
06-04-2016;13 - 14;156.46
06-04-2016;14 - 15;158.7
06-04-2016;15 - 16;155.2
06-04-2016;16 - 17;153.86
06-04-2016;17 - 18;158.4
06-04-2016;18 - 19;161.45
06-04-2016;19 - 20;162.79
06-04-2016;20 - 21;163.53
06-04-2016;21 - 22;159.66
06-04-2016;22 - 23;149.92
06-04-2016;23 - 00;141.43
07-04-2016;00 - 01;126.18
07-04-2016;01 - 02;119.04
07-04-2016;02 - 03;118.59
07-04-2016;03 - 04;114.72
07-04-2016;04 - 05;125.14
07-04-2016;05 - 06;140.99
07-04-2016;06 - 07;153.78
07-04-2016;07 - 08;160.85
07-04-2016;08 - 09;163.9
07-04-2016;09 - 10;163.16
07-04-2016;10 - 11;160.33
07-04-2016;11 - 12;159.66
07-04-2016;12 - 13;158.84
07-04-2016;13 - 14;158.17
07-04-2016;14 - 15;157.65
07-04-2016;15 - 16;155.94
07-04-2016;16 - 17;156.76
07-04-2016;17 - 18;157.95
07-04-2016;18 - 19;159.74
07-04-2016;19 - 20;162.56
07-04-2016;20 - 21;162.71
07-04-2016;21 - 22;159.89
07-04-2016;22 - 23;155.94
07-04-2016;23 - 00;149.02
08-04-2016;00 - 01;145.47
08-04-2016;01 - 02;143.54
08-04-2016;02 - 03;143.16
08-04-2016;03 - 04;143.61
08-04-2016;04 - 05;146.14
08-04-2016;05 - 06;151.2
08-04-2016;06 - 07;158.34
08-04-2016;07 - 08;168.39
08-04-2016;08 - 09;177.02
08-04-2016;09 - 10;177.32
08-04-2016;10 - 11;175.01
08-04-2016;11 - 12;171.07
08-04-2016;12 - 13;170.18
08-04-2016;13 - 14;168.24
08-04-2016;14 - 15;165.86
08-04-2016;15 - 16;161.25
08-04-2016;16 - 17;161.4
08-04-2016;17 - 18;162.59
08-04-2016;18 - 19;165.56
08-04-2016;19 - 20;165.04
08-04-2016;20 - 21;164.07
08-04-2016;21 - 22;163.93
08-04-2016;22 - 23;159.68
08-04-2016;23 - 00;155.96
09-04-2016;00 - 01;157.75
09-04-2016;01 - 02;155
09-04-2016;02 - 03;154.1
09-04-2016;03 - 04;154.7
09-04-2016;04 - 05;154.55
09-04-2016;05 - 06;156.41
09-04-2016;06 - 07;158.94
09-04-2016;07 - 08;159.24
09-04-2016;08 - 09;164.52
09-04-2016;09 - 10;167.5
09-04-2016;10 - 11;166.68
09-04-2016;11 - 12;165.56
09-04-2016;12 - 13;162.44
09-04-2016;13 - 14;154.85
09-04-2016;14 - 15;150.31
09-04-2016;15 - 16;151.42
09-04-2016;16 - 17;154.18
09-04-2016;17 - 18;162.66
09-04-2016;18 - 19;168.02
09-04-2016;19 - 20;167.57
09-04-2016;20 - 21;166.38
09-04-2016;21 - 22;164.74
09-04-2016;22 - 23;161.77
09-04-2016;23 - 00;158.12
10-04-2016;00 - 01;156.18
10-04-2016;01 - 02;150.07
10-04-2016;02 - 03;146.8
10-04-2016;03 - 04;145.76
10-04-2016;04 - 05;145.83
10-04-2016;05 - 06;145.09
10-04-2016;06 - 07;145.46
10-04-2016;07 - 08;146.28
10-04-2016;08 - 09;150.45
10-04-2016;09 - 10;156.03
10-04-2016;10 - 11;156.62
10-04-2016;11 - 12;156.7
10-04-2016;12 - 13;150.89
10-04-2016;13 - 14;149.7
10-04-2016;14 - 15;149.03
10-04-2016;15 - 16;149.33
10-04-2016;16 - 17;152.16
10-04-2016;17 - 18;154.69
10-04-2016;18 - 19;158.41
10-04-2016;19 - 20;163.17
10-04-2016;20 - 21;163.39
10-04-2016;21 - 22;162.87
10-04-2016;22 - 23;158.63
10-04-2016;23 - 00;149.48
11-04-2016;00 - 01;148.96
11-04-2016;01 - 02;144.35
11-04-2016;02 - 03;143.82
11-04-2016;03 - 04;145.39
11-04-2016;04 - 05;151.04
11-04-2016;05 - 06;157.96
11-04-2016;06 - 07;166
11-04-2016;07 - 08;184.23
11-04-2016;08 - 09;222.32
11-04-2016;09 - 10;210.49
11-04-2016;10 - 11;185.71
11-04-2016;11 - 12;170.83
11-04-2016;12 - 13;167.56
11-04-2016;13 - 14;166.37
11-04-2016;14 - 15;164.58
11-04-2016;15 - 16;162.43
11-04-2016;16 - 17;164.14
11-04-2016;17 - 18;166.3
11-04-2016;18 - 19;166.59
11-04-2016;19 - 20;167.04
11-04-2016;20 - 21;168.38
11-04-2016;21 - 22;166.44
11-04-2016;22 - 23;162.43
11-04-2016;23 - 00;157.52
12-04-2016;00 - 01;154.34
12-04-2016;01 - 02;151.96
12-04-2016;02 - 03;151.59
12-04-2016;03 - 04;151.59
12-04-2016;04 - 05;153.67
12-04-2016;05 - 06;159.62
12-04-2016;06 - 07;165.58
12-04-2016;07 - 08;174.06
12-04-2016;08 - 09;185.97
12-04-2016;09 - 10;182.25
12-04-2016;10 - 11;170.64
12-04-2016;11 - 12;168.33
12-04-2016;12 - 13;166.99
12-04-2016;13 - 14;166.77
