Day;Hours;Price(DKK/Mwh)
13-01-2016;08 - 09;226.43
13-01-2016;09 - 10;229.26
13-01-2016;10 - 11;234.63
13-01-2016;11 - 12;250.37
13-01-2016;12 - 13;253.58
13-01-2016;13 - 14;254.33
13-01-2016;14 - 15;253.81
13-01-2016;15 - 16;324.9
13-01-2016;16 - 17;613.25
13-01-2016;17 - 18;745.53
13-01-2016;18 - 19;447.03
13-01-2016;19 - 20;289.92
13-01-2016;20 - 21;220.98
13-01-2016;21 - 22;201.21
13-01-2016;22 - 23;189.65
13-01-2016;23 - 00;171.22
14-01-2016;00 - 01;175.4
14-01-2016;01 - 02;168.46
14-01-2016;02 - 03;165.78
14-01-2016;03 - 04;164.36
14-01-2016;04 - 05;168.09
14-01-2016;05 - 06;178.31
14-01-2016;06 - 07;218.37
14-01-2016;07 - 08;521.58
14-01-2016;08 - 09;661.09
14-01-2016;09 - 10;522.1
14-01-2016;10 - 11;370.05
14-01-2016;11 - 12;373.48
14-01-2016;12 - 13;440.78
14-01-2016;13 - 14;497.85
14-01-2016;14 - 15;453.69
14-01-2016;15 - 16;493.82
14-01-2016;16 - 17;988.17
14-01-2016;17 - 18;1155.89
14-01-2016;18 - 19;900.95
14-01-2016;19 - 20;463.23
14-01-2016;20 - 21;293.06
14-01-2016;21 - 22;235.83
14-01-2016;22 - 23;205.09
14-01-2016;23 - 00;187.34
15-01-2016;00 - 01;183.4
15-01-2016;01 - 02;179.37
15-01-2016;02 - 03;173.7
15-01-2016;03 - 04;171.17
15-01-2016;04 - 05;171.17
15-01-2016;05 - 06;172.88
15-01-2016;06 - 07;196.61
15-01-2016;07 - 08;894.78
15-01-2016;08 - 09;1003.05
15-01-2016;09 - 10;1119.3
15-01-2016;10 - 11;432.77
15-01-2016;11 - 12;415.31
15-01-2016;12 - 13;430.3
15-01-2016;13 - 14;422.54
15-01-2016;14 - 15;354.87
15-01-2016;15 - 16;361.21
15-01-2016;16 - 17;757.86
15-01-2016;17 - 18;1118.85
15-01-2016;18 - 19;672.13
15-01-2016;19 - 20;338.98
15-01-2016;20 - 21;251.38
15-01-2016;21 - 22;218.92
15-01-2016;22 - 23;202.73
15-01-2016;23 - 00;186.24
16-01-2016;00 - 01;197.68
16-01-2016;01 - 02;191.78
16-01-2016;02 - 03;185.36
16-01-2016;03 - 04;181.63
16-01-2016;04 - 05;179.32
16-01-2016;05 - 06;184.39
16-01-2016;06 - 07;180.44
16-01-2016;07 - 08;182.3
16-01-2016;08 - 09;198.35
16-01-2016;09 - 10;236.03
16-01-2016;10 - 11;249.17
16-01-2016;11 - 12;247.97
16-01-2016;12 - 13;217.6
16-01-2016;13 - 14;196.33
16-01-2016;14 - 15;190.06
16-01-2016;15 - 16;191.03
16-01-2016;16 - 17;224.99
16-01-2016;17 - 18;304.09
16-01-2016;18 - 19;303.94
16-01-2016;19 - 20;226.03
16-01-2016;20 - 21;195.36
16-01-2016;21 - 22;187.08
16-01-2016;22 - 23;184.47
16-01-2016;23 - 00;175.66
17-01-2016;00 - 01;163.28
17-01-2016;01 - 02;151.12
17-01-2016;02 - 03;154.92
17-01-2016;03 - 04;156.49
17-01-2016;04 - 05;155.89
17-01-2016;05 - 06;156.26
17-01-2016;06 - 07;150.15
17-01-2016;07 - 08;166.79
17-01-2016;08 - 09;175.52
17-01-2016;09 - 10;183.43
17-01-2016;10 - 11;197.31
17-01-2016;11 - 12;203.43
17-01-2016;12 - 13;193.73
17-01-2016;13 - 14;193.8
17-01-2016;14 - 15;190.74
17-01-2016;15 - 16;197.16
17-01-2016;16 - 17;238.35
17-01-2016;17 - 18;294.69
17-01-2016;18 - 19;319.4
17-01-2016;19 - 20;283.43
17-01-2016;20 - 21;242.53
17-01-2016;21 - 22;196.94
17-01-2016;22 - 23;191.04
17-01-2016;23 - 00;182.01
18-01-2016;00 - 01;178.8
18-01-2016;01 - 02;175.14
18-01-2016;02 - 03;175.82
18-01-2016;03 - 04;175.07
18-01-2016;04 - 05;175.44
18-01-2016;05 - 06;180.97
18-01-2016;06 - 07;201.11
18-01-2016;07 - 08;348.35
18-01-2016;08 - 09;612.97
18-01-2016;09 - 10;401.41
18-01-2016;10 - 11;382.45
18-01-2016;11 - 12;361.48
18-01-2016;12 - 13;350.22
18-01-2016;13 - 14;345.66
18-01-2016;14 - 15;341.48
18-01-2016;15 - 16;369.62
18-01-2016;16 - 17;606.78
18-01-2016;17 - 18;709.39
18-01-2016;18 - 19;473.05
18-01-2016;19 - 20;356.86
18-01-2016;20 - 21;255.52
18-01-2016;21 - 22;198.35
18-01-2016;22 - 23;185.22
18-01-2016;23 - 00;177.09
19-01-2016;00 - 01;183.06
19-01-2016;01 - 02;176.12
19-01-2016;02 - 03;174.03
19-01-2016;03 - 04;177.47
19-01-2016;04 - 05;182.17
19-01-2016;05 - 06;196.2
19-01-2016;06 - 07;238.07
19-01-2016;07 - 08;447.92
19-01-2016;08 - 09;552.7
19-01-2016;09 - 10;499.64
19-01-2016;10 - 11;457.55
19-01-2016;11 - 12;458.45
19-01-2016;12 - 13;440.16
