DayTraining;Day;Step;discEV;TransformerLoad;agentsCharging;meanBatttery;atHome;reward1;reward2;reward3;energyCosts;
65;1;35;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;36;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;37;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;38;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;39;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;40;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;41;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;42;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;43;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;44;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;45;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;46;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;47;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;48;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;49;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;50;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;51;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;52;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;53;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;54;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;55;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;56;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;57;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;58;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;59;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;60;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;61;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;62;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;63;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;64;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;65;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;66;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;67;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;68;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;69;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;70;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;71;0;0.0;0;15223.952044907423;0;0.0;0.0;0.0;0.0;
65;1;72;0;6900.0;3;15223.952044907423;3;70.0;3.1620553359683803;50.0;1.6500000000000001;
65;1;73;0;25300.0;11;15281.452044907423;12;290.0;2.2460822434311303;50.0;9.020000000000001;
65;1;74;0;39100.0;17;15492.285378240755;20;480.0;2.3462354188759273;50.0;13.940000000000003;
65;1;75;0;48300.0;21;15818.118711574089;27;700.0;2.4547346922744584;11.11111111111111;17.220000000000002;
65;1;76;0;36800.0;16;16220.618711574089;29;770.0;2.7943345400470494;50.0;13.120000000000003;
